"player_id","season","first_name","last_name","player_name.x","position","height_wo_shoes","height_wo_shoes_ft_in","height_w_shoes","height_w_shoes_ft_in","weight","wingspan","wingspan_ft_in","standing_reach","standing_reach_ft_in","body_fat_pct","hand_length","hand_width","standing_vertical_leap","max_vertical_leap","lane_agility_time","modified_lane_agility_time","three_quarter_sprint","bench_press","player_name.y","round_number","round_pick","overall_pick","draft_type","team_id","team_city","team_name","team_abbreviation","organization","organization_type","player_profile_flag"
202327,2010,"Ekpe","Udoh","Ekpe Udoh","PF",80.75,"6' 8.75''",81.75,"6' 9.75''",237.4,88.5,"7' 4.5''",106.5,"8' 10.5''",8,9.5,8.75,31,33.5,11.15,NA,3.29,10,"Ekpe Udoh",1,6,6,"Draft",1610612744,"Golden State","Warriors","GSW","Baylor","College/University",1
202328,2010,"Greg","Monroe","Greg Monroe","PF-C",81.75,"6' 9.75''",83,"6' 11''",246.6,86.25,"7' 2.25''",108.5,"9' 0.5''",11.2,8.75,9.5,25,29,12.1,NA,3.35,15,"Greg Monroe",1,7,7,"Draft",1610612765,"Detroit","Pistons","DET","Georgetown","College/University",1
202329,2010,"Al-Farouq","Aminu","Al-Farouq Aminu","SF",79.25,"6' 7.25''",80.5,"6' 8.5''",216,87.25,"7' 3.25''",108.5,"9' 0.5''",8.2,9.5,9.5,27,33.5,11.29,NA,3.3,13,"Al-Farouq Aminu",1,8,8,"Draft",1610612746,"Los Angeles","Clippers","LAC","Wake Forest","College/University",1
202330,2010,"Gordon","Hayward","Gordon Hayward","SF",78.75,"6' 6.75''",80,"6' 8''",211,79.75,"6' 7.75''",103,"8' 7''",6.9,8.5,9.25,30.5,34.5,11.73,NA,3.22,10,"Gordon Hayward",1,9,9,"Draft",1610612762,"Utah","Jazz","UTA","Butler","College/University",1
202331,2010,"Paul","George","Paul George","SF",79.75,"6' 7.75''",80.75,"6' 8.75''",214.4,83.25,"6' 11.25''",107,"8' 11''",5,8.5,9,NA,NA,NA,NA,NA,4,"Paul George",1,10,10,"Draft",1610612754,"Indiana","Pacers","IND","Fresno State","College/University",1
202332,2010,"Cole","Aldrich","Cole Aldrich","C",81,"6' 9''",83.25,"6' 11.25''",236,88.75,"7' 4.75''",111.5,"9' 3.5''",8.5,9,9.25,23,28,11.48,NA,3.35,10,"Cole Aldrich",1,11,11,"Draft",1610612740,"New Orleans","Hornets","NOH","Kansas","College/University",1
202333,2010,"Xavier","Henry","Xavier Henry","SG",77.25,"6' 5.25''",78.5,"6' 6.5''",210.2,83.25,"6' 11.25''",105,"8' 9''",4.7,8.75,10,28.5,36.5,11.1,NA,3.18,8,"Xavier Henry",1,12,12,"Draft",1610612763,"Memphis","Grizzlies","MEM","Kansas","College/University",1
202334,2010,"Ed","Davis","Ed Davis","PF",81,"6' 9''",81.75,"6' 9.75''",226.6,84,"7' 0''",108,"9' 0''",10,9.25,10,31,36,11.7,NA,3.21,NA,"Ed Davis",1,13,13,"Draft",1610612761,"Toronto","Raptors","TOR","North Carolina","College/University",1
202335,2010,"Patrick","Patterson","Patrick Patterson","PF",80,"6' 8''",81.25,"6' 9.25''",239.6,85.25,"7' 1.25''",107,"8' 11''",5.3,9.25,10.25,28.5,33.5,11.14,NA,3.25,17,"Patrick Patterson",1,14,14,"Draft",1610612745,"Houston","Rockets","HOU","Kentucky","College/University",1
202336,2010,"Larry","Sanders","Larry Sanders","PF-C",81.25,"6' 9.25''",82.5,"6' 10.5''",222.4,89.75,"7' 5.75''",112,"9' 4''",4.6,9.75,11,25.5,28,12.49,NA,3.27,7,"Larry Sanders",1,15,15,"Draft",1610612749,"Milwaukee","Bucks","MIL","Virginia Commonwealth","College/University",1
202337,2010,"Luke","Babbitt","Luke Babbitt","SF-PF",79.5,"6' 7.5''",80.75,"6' 8.75''",217.8,83.25,"6' 11.25''",104.5,"8' 8.5''",5.6,8.5,10,29.5,37.5,10.98,NA,3.4,15,"Luke Babbitt",1,16,16,"Draft",1610612750,"Minnesota","Timberwolves","MIN","Nevada-Reno","College/University",1
202339,2010,"Eric","Bledsoe","Eric Bledsoe","PG",72.25,"6' 0.25''",73.5,"6' 1.5''",191.6,79.5,"6' 7.5''",98,"8' 2''",5.6,8.5,9.75,NA,NA,NA,NA,NA,9,"Eric Bledsoe",1,18,18,"Draft",1610612760,"Oklahoma City","Thunder","OKC","Kentucky","College/University",1
202340,2010,"Avery","Bradley","Avery Bradley","SG-PG",74,"6' 2''",75.25,"6' 3.25''",180.4,79.25,"6' 7.25''",98.5,"8' 2.5''",4,8.25,9.5,31.5,37.5,11.47,NA,3.14,2,"Avery Bradley",1,19,19,"Draft",1610612738,"Boston","Celtics","BOS","Texas","College/University",1
202341,2010,"James","Anderson","James Anderson","SF",76.75,"6' 4.75''",77.75,"6' 5.75''",207.6,80.5,"6' 8.5''",104,"8' 8''",7.9,8.5,7.25,30,35.5,11.86,NA,3.19,14,"James Anderson",1,20,20,"Draft",1610612759,"San Antonio","Spurs","SAS","Oklahoma State","College/University",1
