"season","position","height_wo_shoes","weight","wingspan","standing_reach","max_vertical_leap","body_fat_pct","hand_length","hand_width","standing_vertical_leap","max_vertical_leap.1","lane_agility_time","three_quarter_sprint","bench_press"
2015,2,77.25,195.8,82,100.5,40,4.1,8,8.75,34.5,40,10.97,3.27,12
2015,5,83.25,242.4,87,111,NA,6.3,9.5,9,NA,NA,NA,NA,NA
2015,3,77.75,202.8,86.25,102.5,37,5.7,9,8.75,34.5,37,11.09,3.32,7
2015,2,77.75,202.8,86.25,102.5,37,5.7,9,8.75,34.5,37,11.09,3.32,7
2015,5,83.75,231.2,83,109.5,NA,9.4,8.5,9.5,NA,NA,NA,NA,NA
2015,4,83.75,231.2,83,109.5,NA,9.4,8.5,9.5,NA,NA,NA,NA,NA
2015,2,76.5,205.8,80.25,102.5,34.5,8.3,8.75,9,27.5,34.5,10.27,3.28,8
2015,1,72.75,182.8,79.25,97.5,35.5,6.3,8.5,8.25,29.75,35.5,10.9,3.28,0
2015,5,81.75,238.6,88,112,NA,9.3,9.25,9.25,NA,NA,NA,NA,NA
2015,4,81.75,238.6,88,112,NA,9.3,9.25,9.25,NA,NA,NA,NA,NA
2015,4,81,241.2,85.5,108,NA,12.1,9.25,10.25,NA,NA,NA,NA,NA
2015,3,77,241.8,83.5,102,NA,7.5,9,9,NA,NA,NA,NA,NA
2015,1,75.25,198,79.5,100,NA,5.6,8.25,8.5,NA,NA,NA,NA,NA
2015,4,81.5,246.2,86,108.5,31.5,8.9,9.5,9.25,25,31.5,11.78,3.56,5
2015,4,80,222.4,87.5,110,NA,11.9,9.5,9.25,NA,NA,NA,NA,NA
2015,2,75.75,198.6,79,101,34,6.2,8,8.5,28,34,11.4,3.21,5
2015,4,79,238,87.25,106,37.5,7.2,8.75,9.5,33,37.5,11.72,3.28,9
2015,4,80.25,242.6,89.25,110.5,32,9.6,9.25,9,29,32,11.6,3.47,9
2015,5,80.25,242.6,89.25,110.5,32,9.6,9.25,9,29,32,11.6,3.47,9
2015,5,83,264.6,86,112,25,14.9,9.25,10.5,22.5,25,11.76,3.62,4
2015,3,77.5,210.8,86,104,38,5,8.75,9.75,32,38,10.41,3.12,13
2015,1,72.5,190.2,80.25,98.5,38,5.6,8.25,8.5,33,38,10.84,3.15,7
2015,2,72.5,190.2,80.25,98.5,38,5.6,8.25,8.5,33,38,10.84,3.15,7
2015,2,75,215.4,82.75,102.5,40.5,6.4,9.25,9,32.5,40.5,10.69,3.2,5
2015,4,77.5,230.2,83,105,34.5,5.8,9,8.75,28.5,34.5,12.22,3.2,12
2015,4,80,238.6,81,106.5,35,10.1,8.25,9.5,28.5,35,11.2,3.27,19
2015,4,80.25,199,87.25,109,NA,6.2,8.75,8.75,NA,NA,NA,NA,NA
2015,2,76,215,80,96,44,10.2,8.5,9.25,37.5,44,10.58,3.2,13
2015,1,73.75,177.4,79.75,97.5,43,5.3,8.25,8.5,34.5,43,10.78,3.02,3
2015,2,73.75,177.4,79.75,97.5,43,5.3,8.25,8.5,34.5,43,10.78,3.02,3
2015,2,74.75,181.4,77.5,98.5,28.5,9.2,7.75,8.75,26,28.5,10.56,3.44,1
2017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,74,169.6,78.5,100,NA,4.5,8.5,8.5,NA,NA,NA,NA,NA
2017,2,73.25,211.4,82,97,40.5,5.9,8.5,9.5,36.5,40.5,11.53,3.01,10
2017,2,76.5,196.2,77.25,98.5,NA,6.6,8,8.75,NA,NA,NA,NA,NA
2017,3,76.5,196.2,77.25,98.5,NA,6.6,8,8.75,NA,NA,NA,NA,NA
2017,4,82.25,232.2,85,111,NA,8.9,8.75,9.25,NA,NA,NA,NA,NA
2017,5,82.25,232.2,85,111,NA,8.9,8.75,9.25,NA,NA,NA,NA,NA
2017,4,80.25,225.2,83.25,106.5,37.5,5.4,9,10,33,37.5,11.66,3.27,15
2017,3,79,200.8,83,104.5,35.5,8.1,8.75,9.25,29.5,35.5,10.8,3.3,NA
2017,5,82,229,87,111.5,30.5,7.8,8.75,9.75,26,30.5,11.8,3.46,NA
2017,3,78.25,232.4,86.25,107.5,NA,6.8,9.25,9.5,NA,NA,NA,NA,NA
2017,4,81.25,232,87.25,109.5,32.5,5.2,9.5,10.75,27,32.5,11.08,3.34,5
2017,5,81,233.6,89.25,109.5,35.5,7.4,9.5,10.5,31.5,35.5,11.82,3.21,4
2017,5,80.5,252.2,90.25,110.5,32.5,5.4,9.5,10,29.5,32.5,12.52,3.44,11
2017,4,80.75,222.2,83,107,34.5,6.8,8.5,9.5,29,34.5,11.55,3.27,6
2017,4,80.75,242.6,86.75,108,38.5,5.2,9.5,8.75,33.5,38.5,11.94,3.24,12
2017,5,80.75,242.6,86.75,108,38.5,5.2,9.5,8.75,33.5,38.5,11.94,3.24,12
2017,2,77.5,184.4,80.75,103,38,5.8,8.5,10,28.5,38,11.16,3.32,NA
2017,3,77.5,184.4,80.75,103,38,5.8,8.5,10,28.5,38,11.16,3.32,NA
2017,4,80.75,234.4,87,109.5,NA,6.4,9.25,10.25,NA,NA,NA,NA,NA
2017,1,70.75,185.2,77.5,95,33.5,9.1,8,7.75,27.5,33.5,11.34,3.21,1
2017,4,79,223.6,83.75,104.5,38,5.4,9.25,9.5,31.5,38,10.63,3.21,16
2017,5,81.25,248.8,89,112.5,27.5,12,9.5,9.5,24.5,27.5,11.79,3.44,5
2017,4,80.75,219.6,85.5,109,32.5,6.8,8.75,9,28.5,32.5,12.68,3.35,3
2017,3,80,222.6,84.25,107.5,34,9.4,8.5,9.5,27,34,10.72,3.25,12
2017,2,80,222.6,84.25,107.5,34,9.4,8.5,9.5,27,34,10.72,3.25,12
2017,4,80.25,215,84,107.5,33.5,13.6,8.75,8.75,29.5,33.5,11.68,3.46,1
2017,3,77.25,241.4,81.75,102,40.5,5.5,8.75,9.5,35,40.5,10.58,3.16,19
2017,2,77.25,241.4,81.75,102,40.5,5.5,8.75,9.5,35,40.5,10.58,3.16,19
2017,1,75.25,189.8,79.5,101.5,36.5,6.2,8.25,8.5,31,36.5,10.84,3.08,10
2017,1,74,201.6,79.5,98,42,6.7,8.25,9,34.5,42,10.94,3.14,9
2017,4,79.5,245.6,87,108,NA,NA,9.5,10.25,NA,NA,NA,NA,NA
2017,2,75.75,209.2,80.25,101,35.5,5.8,8.5,9.5,27.5,35.5,11.15,3.18,9
2017,3,75.75,209.2,80.25,101,35.5,5.8,8.5,9.5,27.5,35.5,11.15,3.18,9
2017,2,76.75,221.6,82,103.5,36.5,7.9,8.75,10,30,36.5,11.7,3.22,8
2017,3,76.75,221.6,82,103.5,36.5,7.9,8.75,10,30,36.5,11.7,3.22,8
2017,4,79.25,232,82.75,105,NA,8.8,8.75,10,NA,NA,NA,NA,NA
2017,1,76,176.4,81,102.5,NA,8.3,8.25,9,NA,NA,NA,NA,NA
2017,2,77.5,193.4,85,105.5,36,4,8.75,9.5,31.5,36,11.25,3.36,5
2017,3,77.5,193.4,85,105.5,36,4,8.75,9.5,31.5,36,11.25,3.36,5
2017,1,71,188.8,75.25,94,41,4.3,8,9.25,34,41,11.41,3.18,15
2017,2,75.5,211.6,82,103,30.5,7.8,8.75,8.75,27,30.5,11.48,3.36,15
2017,3,75.5,211.6,82,103,30.5,7.8,8.75,8.75,27,30.5,11.48,3.36,15
2017,2,77,220.2,78,100.5,37.5,7.5,8.25,9.25,31,37.5,11.14,3.21,16
2017,3,77,220.2,78,100.5,37.5,7.5,8.25,9.25,31,37.5,11.14,3.21,16
2017,2,75,182.6,77.25,99.5,36,4.7,8.5,9.25,30.5,36,10.55,3.16,8
2017,3,77.75,218.6,82,104.5,35.5,5.7,8.75,10.25,31,35.5,11.47,3.17,16
2017,4,81.5,247.8,90,112.5,33,9.4,9.5,10.25,25.5,33,11.42,3.37,7
2017,5,81.5,247.8,90,112.5,33,9.4,9.5,10.25,25.5,33,11.42,3.37,7
2017,1,73.25,175.2,76,96.5,33.5,6.9,8.25,8.75,28,33.5,11,3.19,8
2017,2,76.5,205.2,81,100,38,5.3,8.5,9.25,31.5,38,11.18,3.13,13
2017,3,76.5,205.2,81,100,38,5.3,8.5,9.25,31.5,38,11.18,3.13,13
2017,1,73.5,190.2,79.25,99,34.5,5.6,8.75,9.25,27.5,34.5,10.42,3.19,10
2017,2,76.5,206.2,84,102,36,6.5,9.25,9.5,28.5,36,11.37,3.34,12
2017,3,76.5,206.2,84,102,36,6.5,9.25,9.5,28.5,36,11.37,3.34,12
